h,N_el_x,N_el_y,r,dt,T,method,rel_L2_error_avg,rel_H1_error_avg
0.00625,160,160,2,0.0035,2,newmark-standing-mode-wsol,2.219235e-01,1.105630e+01
0.005,200,200,2,0.0035,2,newmark-standing-mode-wsol,2.399145e-01,5.776675e-01
0.00625,160,160,2,0.001,2,newmark-standing-mode-wsol,2.740362e-02,7.238720e-02
