timestep,time,energy
1,0.0035,2.46708
2,0.007,2.46708
3,0.0105,2.46708
4,0.014,2.46708
5,0.0175,2.46708
6,0.021,2.46708
7,0.0245,2.46708
8,0.028,2.46708
9,0.0315,2.46708
10,0.035,2.46708
11,0.0385,2.46708
12,0.042,2.46708
13,0.0455,2.46708
14,0.049,2.46708
15,0.0525,2.46708
16,0.056,2.46708
17,0.0595,2.46708
18,0.063,2.46708
19,0.0665,2.46708
20,0.07,2.46708
21,0.0735,2.46708
22,0.077,2.46708
23,0.0805,2.46708
24,0.084,2.46708
25,0.0875,2.46708
26,0.091,2.46708
27,0.0945,2.46708
28,0.098,2.46708
29,0.1015,2.46708
30,0.105,2.46708
31,0.1085,2.46708
32,0.112,2.46708
33,0.1155,2.46708
34,0.119,2.46708
35,0.1225,2.46708
36,0.126,2.46708
37,0.1295,2.46708
38,0.133,2.46708
39,0.1365,2.46708
40,0.14,2.46708
41,0.1435,2.46708
42,0.147,2.46708
43,0.1505,2.46708
44,0.154,2.46708
45,0.1575,2.46708
46,0.161,2.46708
47,0.1645,2.46708
48,0.168,2.46708
49,0.1715,2.46708
50,0.175,2.46708
51,0.1785,2.46708
52,0.182,2.46708
53,0.1855,2.46708
54,0.189,2.46708
55,0.1925,2.46708
56,0.196,2.46708
57,0.1995,2.46708
58,0.203,2.46708
59,0.2065,2.46708
60,0.21,2.46708
61,0.2135,2.46708
62,0.217,2.46708
63,0.2205,2.46708
64,0.224,2.46708
65,0.2275,2.46708
66,0.231,2.46708
67,0.2345,2.46708
68,0.238,2.46708
69,0.2415,2.46708
70,0.245,2.46708
71,0.2485,2.46708
72,0.252,2.46708
73,0.2555,2.46708
74,0.259,2.46708
75,0.2625,2.46708
76,0.266,2.46708
77,0.2695,2.46708
78,0.273,2.46708
79,0.2765,2.46708
80,0.28,2.46708
81,0.2835,2.46708
82,0.287,2.46708
83,0.2905,2.46708
84,0.294,2.46708
85,0.2975,2.46708
86,0.301,2.46708
87,0.3045,2.46708
88,0.308,2.46708
89,0.3115,2.46708
90,0.315,2.46708
91,0.3185,2.46708
92,0.322,2.46708
93,0.3255,2.46708
94,0.329,2.46708
95,0.3325,2.46708
96,0.336,2.46708
97,0.3395,2.46708
98,0.343,2.46708
99,0.3465,2.46708
100,0.35,2.46708
101,0.3535,2.46708
102,0.357,2.46708
103,0.3605,2.46708
104,0.364,2.46708
105,0.3675,2.46708
106,0.371,2.46708
107,0.3745,2.46708
108,0.378,2.46708
109,0.3815,2.46708
110,0.385,2.46708
111,0.3885,2.46708
112,0.392,2.46708
113,0.3955,2.46708
114,0.399,2.46708
115,0.4025,2.46708
116,0.406,2.46708
117,0.4095,2.46708
118,0.413,2.46708
119,0.4165,2.46708
120,0.42,2.46708
121,0.4235,2.46708
122,0.427,2.46708
123,0.4305,2.46708
124,0.434,2.46708
125,0.4375,2.46708
126,0.441,2.46708
127,0.4445,2.46708
128,0.448,2.46708
129,0.4515,2.46708
130,0.455,2.46708
131,0.4585,2.46708
132,0.462,2.46708
133,0.4655,2.46708
134,0.469,2.46708
135,0.4725,2.46708
136,0.476,2.46708
137,0.4795,2.46708
138,0.483,2.46708
