timestep,time,energy
10,0.035,2.7064
20,0.07,2.70681
30,0.105,2.68006
40,0.14,2.64152
50,0.175,2.598
60,0.21,2.55375
70,0.245,2.51179
80,0.28,2.47666
90,0.315,2.45161
100,0.35,2.43884
110,0.385,2.4397
120,0.42,2.45399
130,0.455,2.48044
140,0.49,2.51646
150,0.525,2.55861
160,0.56,2.60306
170,0.595,2.6453
180,0.63,2.68139
190,0.665,2.70818
200,0.7,2.72283
210,0.735,2.72397
220,0.77,2.71167
230,0.805,2.68685
240,0.84,2.652
250,0.875,2.61047
260,0.91,2.56601
270,0.945,2.52284
280,0.98,2.4804
290,1.015,2.43492
300,1.05,2.43965
310,1.085,2.43218
320,1.12,2.4401
330,1.155,2.45562
340,1.19,2.47078
350,1.225,2.51854
360,1.26,2.55501
370,1.295,2.60808
380,1.33,2.63216
390,1.365,2.66987
400,1.4,2.70056
410,1.435,2.71311
420,1.47,2.70953
430,1.505,2.69162
440,1.54,2.66042
450,1.575,2.61987
460,1.61,2.57835
470,1.645,2.53885
480,1.68,2.49649
490,1.715,2.46114
500,1.75,2.43839
510,1.785,2.42576
520,1.82,2.42725
530,1.855,2.4426
540,1.89,2.46847
550,1.925,2.50595
560,1.96,2.54711
570,1.995,2.60663
