timestep,time,energy
304,1.064,592.665
305,1.0675,592.665
306,1.071,592.665
307,1.0745,592.665
308,1.078,592.665
309,1.0815,592.665
310,1.085,592.665
311,1.0885,592.665
312,1.092,592.665
313,1.0955,592.665
314,1.099,592.665
315,1.1025,592.665
316,1.106,592.665
317,1.1095,592.665
318,1.113,592.665
319,1.1165,592.665
320,1.12,592.665
321,1.1235,592.665
322,1.127,592.665
323,1.1305,592.665
324,1.134,592.665
325,1.1375,592.665
326,1.141,592.665
327,1.1445,592.665
328,1.148,592.665
329,1.1515,592.665
330,1.155,592.665
331,1.1585,592.665
332,1.162,592.665
333,1.1655,592.665
334,1.169,592.665
335,1.1725,592.665
336,1.176,592.665
337,1.1795,592.665
338,1.183,592.665
339,1.1865,592.665
340,1.19,592.665
341,1.1935,592.665
342,1.197,592.665
343,1.2005,592.665
344,1.204,592.665
345,1.2075,592.665
346,1.211,592.665
347,1.2145,592.665
348,1.218,592.665
349,1.2215,592.665
350,1.225,592.665
351,1.2285,592.665
352,1.232,592.665
353,1.2355,592.665
354,1.239,592.665
355,1.2425,592.665
356,1.246,592.665
357,1.2495,592.665
358,1.253,592.665
359,1.2565,592.665
360,1.26,592.665
361,1.2635,592.665
362,1.267,592.665
363,1.2705,592.665
364,1.274,592.665
365,1.2775,592.665
366,1.281,592.665
367,1.2845,592.665
368,1.288,592.665
369,1.2915,592.665
370,1.295,592.665
371,1.2985,592.665
372,1.302,592.665
373,1.3055,592.665
374,1.309,592.665
375,1.3125,592.665
376,1.316,592.665
377,1.3195,592.665
378,1.323,592.665
379,1.3265,592.665
380,1.33,592.665
381,1.3335,592.665
382,1.337,592.665
383,1.3405,592.665
384,1.344,592.665
385,1.3475,592.665
386,1.351,592.665
387,1.3545,592.665
388,1.358,592.665
389,1.3615,592.665
390,1.365,592.665
391,1.3685,592.665
392,1.372,592.665
393,1.3755,592.665
394,1.379,592.665
395,1.3825,592.665
396,1.386,592.665
397,1.3895,592.665
398,1.393,592.665
399,1.3965,592.665
400,1.4,592.665
401,1.4035,592.665
402,1.407,592.665
403,1.4105,592.665
404,1.414,592.665
405,1.4175,592.665
406,1.421,592.665
407,1.4245,592.665
408,1.428,592.665
409,1.4315,592.665
410,1.435,592.665
411,1.4385,592.665
412,1.442,592.665
413,1.4455,592.665
414,1.449,592.665
415,1.4525,592.665
416,1.456,592.665
417,1.4595,592.665
418,1.463,592.665
419,1.4665,592.665
420,1.47,592.665
421,1.4735,592.665
422,1.477,592.665
423,1.4805,592.665
424,1.484,592.665
425,1.4875,592.665
426,1.491,592.665
427,1.4945,592.665
428,1.498,592.665
429,1.5015,592.665
430,1.505,592.665
431,1.5085,592.665
432,1.512,592.665
433,1.5155,592.665
434,1.519,592.665
435,1.5225,592.665
436,1.526,592.665
437,1.5295,592.665
438,1.533,592.665
439,1.5365,592.665
440,1.54,592.665
441,1.5435,592.665
442,1.547,592.665
443,1.5505,592.665
444,1.554,592.665
445,1.5575,592.665
446,1.561,592.665
447,1.5645,592.665
448,1.568,592.665
449,1.5715,592.665
450,1.575,592.665
451,1.5785,592.665
452,1.582,592.665
453,1.5855,592.665
454,1.589,592.665
455,1.5925,592.665
456,1.596,592.665
457,1.5995,592.665
458,1.603,592.665
459,1.6065,592.665
460,1.61,592.665
461,1.6135,592.665
462,1.617,592.665
463,1.6205,592.665
464,1.624,592.665
465,1.6275,592.665
466,1.631,592.665
467,1.6345,592.665
468,1.638,592.665
469,1.6415,592.665
470,1.645,592.665
471,1.6485,592.665
472,1.652,592.665
473,1.6555,592.665
474,1.659,592.665
475,1.6625,592.665
476,1.666,592.665
477,1.6695,592.665
478,1.673,592.665
479,1.6765,592.665
480,1.68,592.665
481,1.6835,592.665
482,1.687,592.665
483,1.6905,592.665
484,1.694,592.665
485,1.6975,592.665
486,1.701,592.665
487,1.7045,592.665
488,1.708,592.665
489,1.7115,592.665
490,1.715,592.665
491,1.7185,592.665
492,1.722,592.665
493,1.7255,592.665
494,1.729,592.665
495,1.7325,592.665
496,1.736,592.665
497,1.7395,592.665
498,1.743,592.665
499,1.7465,592.665
500,1.75,592.665
501,1.7535,592.665
502,1.757,592.665
503,1.7605,592.665
504,1.764,592.665
505,1.7675,592.665
506,1.771,592.665
507,1.7745,592.665
508,1.778,592.665
509,1.7815,592.665
510,1.785,592.665
511,1.7885,592.665
512,1.792,592.665
513,1.7955,592.665
514,1.799,592.665
515,1.8025,592.665
516,1.806,592.665
517,1.8095,592.665
518,1.813,592.665
519,1.8165,592.665
520,1.82,592.665
521,1.8235,592.665
522,1.827,592.665
523,1.8305,592.665
524,1.834,592.665
525,1.8375,592.665
526,1.841,592.665
527,1.8445,592.665
528,1.848,592.665
529,1.8515,592.665
530,1.855,592.665
531,1.8585,592.665
532,1.862,592.665
533,1.8655,592.665
534,1.869,592.665
535,1.8725,592.665
536,1.876,592.665
537,1.8795,592.665
538,1.883,592.665
539,1.8865,592.665
540,1.89,592.665
541,1.8935,592.665
542,1.897,592.665
543,1.9005,592.665
544,1.904,592.665
545,1.9075,592.665
546,1.911,592.665
547,1.9145,592.665
548,1.918,592.665
549,1.9215,592.665
550,1.925,592.665
551,1.9285,592.665
552,1.932,592.665
553,1.9355,592.665
554,1.939,592.665
555,1.9425,592.665
556,1.946,592.665
557,1.9495,592.665
558,1.953,592.665
559,1.9565,592.665
560,1.96,592.665
561,1.9635,592.665
562,1.967,592.665
563,1.9705,592.665
564,1.974,592.665
565,1.9775,592.665
566,1.981,592.665
567,1.9845,592.665
568,1.988,592.665
569,1.9915,592.665
570,1.995,592.665
571,1.9985,592.665
572,2.002,592.665
