timestep,time,L2_error,H1_error,rel_L2_error,rel_H1_error
10,0.035,1.265342e-02,6.552580e-01,2.137499e-02,1.559981e-01
20,7.000000e-02,2.394149e-02,7.884460e-01,4.449988e-02,2.065325e-01
30,1.050000e-01,2.932557e-02,7.032656e-01,6.492382e-02,2.194248e-01
40,1.400000e-01,3.262983e-02,6.561503e-01,9.647992e-02,2.734225e-01
50,1.750000e-01,3.371484e-02,5.757430e-01,1.649675e-01,3.970220e-01
60,2.100000e-01,3.366886e-02,5.358857e-01,5.780109e-01,1.296548e+00
70,2.450000e-01,3.301237e-02,5.389571e-01,3.612758e-01,8.312376e-01
80,2.800000e-01,3.258439e-02,5.801137e-01,1.383580e-01,3.471495e-01
90,3.150000e-01,3.324488e-02,6.654087e-01,9.096393e-02,2.565911e-01
100,3.500000e-01,3.539285e-02,7.338742e-01,7.475420e-02,2.184492e-01
110,3.850000e-01,3.916269e-02,8.185452e-01,7.082341e-02,2.086199e-01
120,4.200000e-01,4.439046e-02,8.533685e-01,7.408174e-02,2.007091e-01
130,4.550000e-01,5.076370e-02,9.242909e-01,8.329907e-02,2.137491e-01
140,4.900000e-01,5.494484e-02,8.981810e-01,9.425048e-02,2.171348e-01
150,5.250000e-01,5.811525e-02,8.287862e-01,1.114486e-01,2.239937e-01
160,5.600000e-01,6.258782e-02,7.583501e-01,1.460365e-01,2.493734e-01
170,5.950000e-01,6.889197e-02,7.171122e-01,2.222882e-01,3.260947e-01
180,6.300000e-01,7.572526e-02,7.178035e-01,4.386659e-01,5.860133e-01
190,6.650000e-01,8.117252e-02,7.472121e-01,3.253717e+00,4.221078e+00
200,7.000000e-01,8.344406e-02,7.868166e-01,6.716818e-01,8.925868e-01
210,7.350000e-01,8.156118e-02,8.546672e-01,3.066919e-01,4.529233e-01
220,7.700000e-01,7.465073e-02,8.487447e-01,1.906057e-01,3.054132e-01
230,8.050000e-01,6.418003e-02,9.544834e-01,1.299705e-01,2.724093e-01
240,8.400000e-01,4.856210e-02,8.659485e-01,8.575963e-02,2.155194e-01
250,8.750000e-01,3.617399e-02,7.935499e-01,5.982603e-02,1.849596e-01
260,9.100000e-01,3.988691e-02,7.551637e-01,6.574627e-02,1.754247e-01
270,9.450000e-01,5.788745e-02,7.503830e-01,1.011637e-01,1.848128e-01
280,9.800000e-01,8.120437e-02,8.038725e-01,1.613328e-01,2.250813e-01
290,1.015000e+00,1.039995e-01,8.944717e-01,2.573103e-01,3.118901e-01
300,1.050000e+00,1.225176e-01,9.887822e-01,4.364510e-01,4.964167e-01
310,1.085000e+00,1.341811e-01,1.043725e+00,9.559546e-01,1.047951e+00
320,1.120000e+00,1.377108e-01,1.096929e+00,1.633795e+01,1.834075e+01
330,1.155000e+00,1.322643e-01,1.068321e+00,8.439835e-01,9.607315e-01
340,1.190000e+00,1.182433e-01,1.043189e+00,4.000468e-01,4.974000e-01
350,1.225000e+00,9.616524e-02,9.415204e-01,2.308029e-01,3.184650e-01
360,1.260000e+00,6.923936e-02,9.186470e-01,1.350548e-01,2.525309e-01
370,1.295000e+00,4.228192e-02,8.280563e-01,7.316977e-02,2.019508e-01
380,1.330000e+00,3.923504e-02,8.089995e-01,6.450073e-02,1.874337e-01
390,1.365000e+00,6.879635e-02,9.367855e-01,1.142552e-01,2.192600e-01
400,1.400000e+00,1.035423e-01,1.011716e+00,1.849783e-01,2.547245e-01
410,1.435000e+00,1.358607e-01,1.127418e+00,2.808722e-01,3.284798e-01
420,1.470000e+00,1.628417e-01,1.276574e+00,4.301466e-01,4.752319e-01
430,1.505000e+00,1.818831e-01,1.341032e+00,7.256018e-01,7.539694e-01
440,1.540000e+00,1.919969e-01,1.445022e+00,1.783018e+00,1.891231e+00
450,1.575000e+00,1.909494e-01,1.436617e+00,4.570332e+00,4.845955e+00
460,1.610000e+00,1.780424e-01,1.396009e+00,9.433794e-01,1.042462e+00
470,1.645000e+00,1.536626e-01,1.290635e+00,4.737922e-01,5.608311e-01
480,1.680000e+00,1.197957e-01,1.194200e+00,2.720070e-01,3.821420e-01
490,1.715000e+00,7.926242e-02,1.048890e+00,1.495479e-01,2.789021e-01
500,1.750000e+00,4.064068e-02,8.486827e-01,6.914806e-02,2.035041e-01
510,1.785000e+00,5.002248e-02,7.824274e-01,8.199008e-02,1.807378e-01
520,1.820000e+00,9.767826e-02,8.947755e-01,1.639508e-01,2.116599e-01
530,1.855000e+00,1.473357e-01,1.211176e+00,2.700350e-01,3.128443e-01
540,1.890000e+00,1.902328e-01,1.451188e+00,4.111907e-01,4.420695e-01
550,1.925000e+00,2.228762e-01,1.658970e+00,6.334699e-01,6.645222e-01
560,1.960000e+00,2.426613e-01,1.764505e+00,1.103672e+00,1.131022e+00
570,1.995000e+00,2.483301e-01,1.826449e+00,3.325426e+00,3.446946e+00
