timestep,time,energy
10,0.035,9.47068
20,0.07,9.62858
30,0.105,9.68776
40,0.14,9.77804
50,0.175,9.82817
60,0.21,9.85172
70,0.245,9.83567
80,0.28,9.7801
90,0.315,9.7096
100,0.35,9.62662
110,0.385,9.5675
120,0.42,9.53099
130,0.455,9.54019
140,0.49,9.58111
150,0.525,9.65384
160,0.56,9.73284
170,0.595,9.80576
180,0.63,9.85101
190,0.665,9.85765
200,0.7,9.83512
210,0.735,9.74349
220,0.77,9.68325
230,0.805,9.64146
240,0.84,9.56491
250,0.875,9.47983
260,0.91,9.45059
270,0.945,9.52692
280,0.98,9.64316
290,1.015,9.74974
300,1.05,9.82002
310,1.085,9.84087
320,1.12,9.8121
330,1.155,9.74719
340,1.19,9.66093
350,1.225,9.57715
360,1.26,9.52111
370,1.295,9.48245
380,1.33,9.51565
390,1.365,9.58348
400,1.4,9.6204
410,1.435,9.73852
420,1.47,9.8243
430,1.505,9.83149
440,1.54,9.8527
450,1.575,9.78136
460,1.61,9.69114
470,1.645,9.63215
480,1.68,9.63341
490,1.715,9.59156
500,1.75,9.52348
510,1.785,9.5045
520,1.82,9.5394
530,1.855,9.65921
540,1.89,9.76501
550,1.925,9.84448
560,1.96,9.85589
570,1.995,9.82246
