scheme,Nel,R,dt,T,returncode,elapsed_s,cfl_limit,energy_ratio,energy_decay_rate,max_rel_L2,final_rel_L2,final_rel_H1
theta-0.0,40,1,0.01,5.0,0,4.075,0.01590990,3.9566816807702116e+255,-1.0223983671240855e+255,,nan,nan
theta-0.5,40,1,0.1,5.0,0,0.818,inf,1.0,0.0,,0.2065978,0.2117078
theta-0.5,40,1,0.05,5.0,0,1.270,inf,1.0,0.0,,0.03171969,0.05068615
theta-0.5,40,1,0.02,5.0,0,2.723,inf,1.0,0.0,,0.002115919,0.03830644
theta-0.5,40,1,0.01,5.0,0,5.982,inf,1.0,0.0,,0.004927102,0.03845086
theta-1.0,40,1,0.1,5.0,0,0.818,inf,0.00012096490631647451,0.19605471276346736,,0.9898524,0.9898525
theta-1.0,40,1,0.05,5.0,0,1.320,inf,0.008033310780045873,0.19642904737028796,,0.9036648,0.9036724
theta-1.0,40,1,0.02,5.0,0,2.872,inf,0.13956996542394495,0.17140040529403489,,0.6236184,0.6237851
theta-1.0,40,1,0.01,5.0,0,5.430,inf,0.37250362617672994,0.12524877721023356,,0.3913176,0.3920121
newmark-0.00,40,1,0.01,5.0,0,5.029,0.01590990,6.628969275747832e+133,-1.3231475600295073e+133,,nan,nan
newmark-0.25,40,1,0.1,5.0,0,0.768,inf,1.0,0.0,,0.2065978,0.2117078
newmark-0.25,40,1,0.05,5.0,0,1.270,inf,1.0,0.0,,0.03171969,0.05068615
newmark-0.25,40,1,0.02,5.0,0,2.722,inf,1.0,0.0,,0.002115919,0.03830644
newmark-0.25,40,1,0.01,5.0,0,5.031,inf,1.0,0.0,,0.004927102,0.03845086
