h,N_el_x,N_el_y,r,theta,dt,T,rel_L2_error_avg,rel_H1_error_avg
0.01,100,100,1,0.5,0.0035,2,1.184587e-01,3.244769e+00
0.01,100,100,1,0.5,0.0035,2,1.184587e-01,3.244769e+00
0.01,100,100,1,0.5,0.0035,2,1.184587e-01,3.244769e+00
0.01,100,100,1,0.5,0.0035,2,1.184587e-01,3.244769e+00
