timestep,time,L2_error,H1_error,rel_L2_error,rel_H1_error
10,0.01,6.876568e-08,8.436045e-05,1.376672e-07,3.708528e-05
20,2.000000e-02,6.882585e-08,8.411223e-05,1.381969e-07,3.708599e-05
30,3.000000e-02,6.968892e-08,8.369439e-05,1.406251e-07,3.708510e-05
40,4.000000e-02,7.241337e-08,8.311563e-05,1.471442e-07,3.708609e-05
50,5.000000e-02,7.817487e-08,8.236881e-05,1.602885e-07,3.708530e-05
60,6.000000e-02,8.790530e-08,8.146283e-05,1.822477e-07,3.708604e-05
70,7.000000e-02,1.020182e-07,8.039433e-05,2.143178e-07,3.708599e-05
80,8.000000e-02,1.204586e-07,7.916759e-05,2.569793e-07,3.708613e-05
90,9.000000e-02,1.429179e-07,7.778631e-05,3.103148e-07,3.708710e-05
100,1.000000e-01,1.690278e-07,7.624914e-05,3.744039e-07,3.708695e-05
110,1.100000e-01,1.984472e-07,7.456534e-05,4.495168e-07,3.708871e-05
120,1.200000e-01,2.308702e-07,7.273161e-05,5.361516e-07,3.708915e-05
130,1.300000e-01,2.660252e-07,7.075761e-05,6.350647e-07,3.709132e-05
140,1.400000e-01,3.036680e-07,6.864334e-05,7.472949e-07,3.709328e-05
150,1.500000e-01,3.435746e-07,6.639480e-05,8.742000e-07,3.709605e-05
160,1.600000e-01,3.855274e-07,6.401714e-05,1.017491e-06,3.710013e-05
170,1.700000e-01,4.293119e-07,6.151352e-05,1.179311e-06,3.710477e-05
180,1.800000e-01,4.747162e-07,5.889076e-05,1.362349e-06,3.711124e-05
190,1.900000e-01,5.215285e-07,5.615451e-05,1.569998e-06,3.712013e-05
200,2.000000e-01,5.695336e-07,5.330745e-05,1.806559e-06,3.712998e-05
210,2.100000e-01,6.185139e-07,5.036243e-05,2.077564e-06,3.714631e-05
220,2.200000e-01,6.682479e-07,4.731589e-05,2.390221e-06,3.716305e-05
230,2.300000e-01,7.185123e-07,4.418680e-05,2.754094e-06,3.719128e-05
240,2.400000e-01,7.690798e-07,4.097036e-05,3.182134e-06,3.722380e-05
250,2.500000e-01,8.197215e-07,3.768384e-05,3.692307e-06,3.727268e-05
260,2.600000e-01,8.702051e-07,3.433177e-05,4.310275e-06,3.734078e-05
270,2.700000e-01,9.202971e-07,3.092051e-05,5.073993e-06,3.743453e-05
280,2.800000e-01,9.697635e-07,2.747300e-05,6.042070e-06,3.758633e-05
290,2.900000e-01,1.018369e-06,2.398405e-05,7.310009e-06,3.780412e-05
300,3.000000e-01,1.065879e-06,2.049778e-05,9.044644e-06,3.819392e-05
310,3.100000e-01,1.112059e-06,1.701664e-05,1.156603e-05,3.886285e-05
320,3.200000e-01,1.156676e-06,1.361680e-05,1.557579e-05,4.026406e-05
330,3.300000e-01,1.199500e-06,1.039138e-05,2.296703e-05,4.368997e-05
340,3.400000e-01,1.240303e-06,7.616778e-06,4.121994e-05,5.558465e-05
350,3.500000e-01,1.278860e-06,6.005312e-06,1.620180e-04,1.670628e-04
360,3.600000e-01,1.314953e-06,6.480632e-06,9.183399e-05,9.938353e-05
