timestep,time,energy
10,0.035,9.2277
20,0.07,9.23687
30,0.105,9.25099
40,0.14,9.26571
50,0.175,9.27739
60,0.21,9.28341
70,0.245,9.2823
80,0.28,9.27426
90,0.315,9.26121
100,0.35,9.24619
110,0.385,9.23269
120,0.42,9.22395
130,0.455,9.22205
140,0.49,9.22733
150,0.525,9.23851
160,0.56,9.25296
170,0.595,9.2672
180,0.63,9.2778
190,0.665,9.28222
200,0.7,9.27939
210,0.735,9.26995
220,0.77,9.25621
230,0.805,9.24171
240,0.84,9.2297
250,0.875,9.2224
260,0.91,9.21788
270,0.945,9.22729
280,0.98,9.23174
290,1.015,9.25124
300,1.05,9.26648
310,1.085,9.27561
320,1.12,9.27776
330,1.155,9.27255
340,1.19,9.26111
350,1.225,9.24633
360,1.26,9.23163
370,1.295,9.22034
380,1.33,9.21538
390,1.365,9.21763
400,1.4,9.22661
410,1.435,9.24023
420,1.47,9.25505
430,1.505,9.26765
440,1.54,9.27498
450,1.575,9.27523
460,1.61,9.26796
470,1.645,9.25517
480,1.68,9.24127
490,1.715,9.22496
500,1.75,9.21053
510,1.785,9.21658
520,1.82,9.21818
530,1.855,9.22378
540,1.89,9.24363
550,1.925,9.256
560,1.96,9.26401
570,1.995,9.27256
