scheme,binary,nprocs,Nel,R,Dt,T,Theta,Beta,Gamma,returncode,seconds
theta,../build/main-theta,1,160,1,0.005,10.0,0.5,,,0,406.148908
theta,../build/main-theta,1,160,1,0.005,1.0,0.5,,,0,41.002967
theta,../build/main-theta,2,160,1,0.005,1.0,0.5,,,0,23.704994
theta,../build/main-theta,4,160,1,0.005,1.0,0.5,,,0,12.028936
newmark,../build/main-newmark,1,160,1,0.005,1.0,,0.25,0.5,0,35.176269
newmark,../build/main-newmark,2,160,1,0.005,1.0,,0.25,0.5,0,19.396538
newmark,../build/main-newmark,4,160,1,0.005,1.0,,0.25,0.5,0,10.107177
