scheme,binary,nprocs,repeat,Nel,R,Dt,T,Theta,Beta,Gamma,returncode,seconds
newmark-0.00,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,4,1,640,1,0.0008,0.5,,0.0,0.5,0,41.709107
newmark-0.00,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,4,2,640,1,0.0008,0.5,,0.0,0.5,0,41.502317
newmark-0.00,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,4,3,640,1,0.0008,0.5,,0.0,0.5,0,41.391503
newmark-0.25,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,4,1,640,1,0.0008,0.5,,0.25,0.5,0,117.537197
newmark-0.25,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,4,2,640,1,0.0008,0.5,,0.25,0.5,0,117.918756
newmark-0.25,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,4,3,640,1,0.0008,0.5,,0.25,0.5,0,117.384555
theta-0.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,8,1,640,1,0.0008,0.5,0.0,,,0,69.503789
theta-0.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,8,2,640,1,0.0008,0.5,0.0,,,0,71.063212
theta-0.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,8,3,640,1,0.0008,0.5,0.0,,,0,58.238153
theta-0.5,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,8,1,640,1,0.0008,0.5,0.5,,,0,103.455673
theta-0.5,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,8,2,640,1,0.0008,0.5,0.5,,,0,102.755784
theta-0.5,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,8,3,640,1,0.0008,0.5,0.5,,,0,103.297587
theta-1.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,8,1,640,1,0.0008,0.5,1.0,,,0,105.853370
theta-1.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,8,2,640,1,0.0008,0.5,1.0,,,0,105.484900
theta-1.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,8,3,640,1,0.0008,0.5,1.0,,,0,106.787986
newmark-0.00,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,8,1,640,1,0.0008,0.5,,0.0,0.5,0,20.280764
newmark-0.00,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,8,2,640,1,0.0008,0.5,,0.0,0.5,0,20.346526
newmark-0.00,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,8,3,640,1,0.0008,0.5,,0.0,0.5,0,20.463448
newmark-0.25,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,8,1,640,1,0.0008,0.5,,0.25,0.5,0,54.192463
newmark-0.25,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,8,2,640,1,0.0008,0.5,,0.25,0.5,0,54.356170
newmark-0.25,/scratch_local/nmpde-wave-equation_9422.login01/build/main-newmark,8,3,640,1,0.0008,0.5,,0.25,0.5,0,54.641848
theta-0.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,16,1,640,1,0.0008,0.5,0.0,,,0,32.439234
theta-0.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,16,2,640,1,0.0008,0.5,0.0,,,0,32.263406
theta-0.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,16,3,640,1,0.0008,0.5,0.0,,,0,32.175571
theta-0.5,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,16,1,640,1,0.0008,0.5,0.5,,,0,57.310530
theta-0.5,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,16,2,640,1,0.0008,0.5,0.5,,,0,57.063360
theta-0.5,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,16,3,640,1,0.0008,0.5,0.5,,,0,56.805648
theta-1.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,16,1,640,1,0.0008,0.5,1.0,,,0,58.400767
theta-1.0,/scratch_local/nmpde-wave-equation_9422.login01/build/main-theta,16,2,640,1,0.0008,0.5,1.0,,,0,63.666488
