h,N_el_x,N_el_y,r,dt,T,method,theta,beta,gamma,rel_L2_error_final,rel_H1_error_final,elapsed_time_s
0.05,20,20,1,0.01,1,theta-standing-mode-wsol,1.000000,N/A,N/A,1.333256e-01,1.490119e-01,0.114
0.05,20,20,1,0.005,1,theta-standing-mode-wsol,1.000000,N/A,N/A,9.689754e-02,1.191818e-01,0.209
0.05,20,20,1,0.001,1,theta-standing-mode-wsol,1.000000,N/A,N/A,6.286951e-02,9.562788e-02,1.058
0.05,20,20,2,0.1,1,theta-standing-mode-wsol,1.000000,N/A,N/A,1.241479e+00,1.241479e+00,0.044
0.05,20,20,2,0.05,1,theta-standing-mode-wsol,1.000000,N/A,N/A,2.252200e-01,2.252275e-01,0.063
0.05,20,20,2,0.01,1,theta-standing-mode-wsol,1.000000,N/A,N/A,8.436597e-02,8.439383e-02,0.205
0.05,20,20,2,0.005,1,theta-standing-mode-wsol,1.000000,N/A,N/A,4.566963e-02,4.572551e-02,0.406
0.05,20,20,2,0.001,1,theta-standing-mode-wsol,1.000000,N/A,N/A,9.766524e-03,1.004408e-02,2.081
0.025,40,40,1,0.1,1,theta-standing-mode-wsol,1.000000,N/A,N/A,1.234262e+00,1.234294e+00,0.030
0.025,40,40,1,0.05,1,theta-standing-mode-wsol,1.000000,N/A,N/A,2.336765e-01,2.355141e-01,0.047
0.025,40,40,1,0.01,1,theta-standing-mode-wsol,1.000000,N/A,N/A,9.659832e-02,1.026172e-01,0.213
0.025,40,40,1,0.005,1,theta-standing-mode-wsol,1.000000,N/A,N/A,5.846543e-02,6.870933e-02,0.391
0.025,40,40,1,0.001,1,theta-standing-mode-wsol,1.000000,N/A,N/A,2.302939e-02,4.397079e-02,2.039
0.025,40,40,2,0.1,1,theta-standing-mode-wsol,1.000000,N/A,N/A,1.241505e+00,1.241505e+00,0.173
0.025,40,40,2,0.05,1,theta-standing-mode-wsol,1.000000,N/A,N/A,2.251901e-01,2.251906e-01,0.221
0.025,40,40,2,0.01,1,theta-standing-mode-wsol,1.000000,N/A,N/A,8.432261e-02,8.432436e-02,0.562
0.025,40,40,2,0.005,1,theta-standing-mode-wsol,1.000000,N/A,N/A,4.562426e-02,4.562777e-02,1.043
0.025,40,40,2,0.001,1,theta-standing-mode-wsol,1.000000,N/A,N/A,9.719320e-03,9.737048e-03,5.136
0.0125,80,80,1,0.1,1,theta-standing-mode-wsol,1.000000,N/A,N/A,1.239692e+00,1.239701e+00,0.120
0.0125,80,80,1,0.05,1,theta-standing-mode-wsol,1.000000,N/A,N/A,2.273120e-01,2.277934e-01,0.191
0.0125,80,80,1,0.01,1,theta-standing-mode-wsol,1.000000,N/A,N/A,8.739090e-02,8.912267e-02,0.543
0.0125,80,80,1,0.005,1,theta-standing-mode-wsol,1.000000,N/A,N/A,4.883350e-02,5.212283e-02,1.000
0.0125,80,80,1,0.001,1,theta-standing-mode-wsol,1.000000,N/A,N/A,1.304492e-02,2.297243e-02,5.336
0.0125,80,80,2,0.1,1,theta-standing-mode-wsol,1.000000,N/A,N/A,1.241507e+00,1.241507e+00,1.146
0.0125,80,80,2,0.05,1,theta-standing-mode-wsol,1.000000,N/A,N/A,2.251882e-01,2.251883e-01,1.338
0.0125,80,80,2,0.01,1,theta-standing-mode-wsol,1.000000,N/A,N/A,8.431989e-02,8.432001e-02,2.509
0.0125,80,80,2,0.005,1,theta-standing-mode-wsol,1.000000,N/A,N/A,4.562141e-02,4.562163e-02,3.953
0.0125,80,80,2,0.001,1,theta-standing-mode-wsol,1.000000,N/A,N/A,9.716371e-03,9.717483e-03,16.945
0.00625,160,160,1,0.1,1,theta-standing-mode-wsol,1.000000,N/A,N/A,1.241053e+00,1.241055e+00,0.669
0.00625,160,160,1,0.05,1,theta-standing-mode-wsol,1.000000,N/A,N/A,2.257192e-01,2.258410e-01,0.868
