h,N_el_x,N_el_y,r,dt,T,method,theta,beta,gamma,rel_L2_error_avg,rel_H1_error_avg,elapsed_time_s
0.003125,320,320,1,0.005,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.369207e-04,4.831951e-03,52.625
0.003125,320,320,1,0.001,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.411590e-05,4.791072e-03,267.894
0.003125,320,320,2,0.1,1,theta-standing-mode-wsol,0.500000,N/A,N/A,2.542721e-01,2.542721e-01,50.789
0.003125,320,320,2,0.05,1,theta-standing-mode-wsol,0.500000,N/A,N/A,3.872199e-02,3.872200e-02,64.945
0.003125,320,320,2,0.01,1,theta-standing-mode-wsol,0.500000,N/A,N/A,6.896109e-04,6.900611e-04,120.973
0.003125,320,320,2,0.005,1,theta-standing-mode-wsol,0.500000,N/A,N/A,3.325054e-04,3.338773e-04,179.185
0.003125,320,320,2,0.001,1,theta-standing-mode-wsol,0.500000,N/A,N/A,8.264906e-06,1.446404e-05,700.487
0.05,20,20,1,0.1,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.487604e-01,2.553409e-01,0.046
0.05,20,20,1,0.05,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.537528e-01,2.601278e-01,0.083
0.05,20,20,1,0.01,1,theta-standing-mode-wsol,1.0,N/A,N/A,6.029441e-02,9.809337e-02,0.360
0.05,20,20,1,0.005,1,theta-standing-mode-wsol,1.0,N/A,N/A,4.762846e-02,9.638786e-02,0.799
0.05,20,20,1,0.001,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.120528e-02,8.271812e-02,3.934
0.05,20,20,2,0.1,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.267307e-01,2.267381e-01,0.087
0.05,20,20,2,0.05,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.381953e-01,2.382022e-01,0.129
0.05,20,20,2,0.01,1,theta-standing-mode-wsol,1.0,N/A,N/A,5.145957e-02,5.153987e-02,0.535
0.05,20,20,2,0.005,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.451562e-02,2.476361e-02,1.061
0.05,20,20,2,0.001,1,theta-standing-mode-wsol,1.0,N/A,N/A,4.967299e-03,5.699711e-03,5.420
0.025,40,40,1,0.1,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.322444e-01,2.341002e-01,0.088
0.025,40,40,1,0.05,1,theta-standing-mode-wsol,1.0,N/A,N/A,2.420828e-01,2.438221e-01,0.155
