h,N_el_x,N_el_y,r,dt,T,method,theta,beta,gamma,rel_L2_error_final,rel_H1_error_final,elapsed_time_s
0.025,40,40,2,0.002,1,theta-conv-params,1.000000,N/A,N/A,1.913300e-02,1.914184e-02,2.098
0.025,40,40,2,0.001,1,theta-conv-params,1.000000,N/A,N/A,9.719320e-03,9.737048e-03,4.202
0.025,40,40,2,0.0005,1,theta-conv-params,1.000000,N/A,N/A,4.901710e-03,4.937106e-03,8.346
0.025,40,40,2,0.0002,1,theta-conv-params,1.000000,N/A,N/A,1.971321e-03,2.058254e-03,20.691
0.025,40,40,2,0.0001,1,theta-conv-params,1.000000,N/A,N/A,9.887238e-04,1.152635e-03,41.441
0.0125,80,80,1,0.1,1,theta-conv-params,1.000000,N/A,N/A,1.239692e+00,1.239701e+00,0.085
0.0125,80,80,1,0.05,1,theta-conv-params,1.000000,N/A,N/A,2.273120e-01,2.277934e-01,0.126
0.0125,80,80,1,0.02,1,theta-conv-params,1.000000,N/A,N/A,1.467419e-01,1.476495e-01,0.274
0.0125,80,80,1,0.01,1,theta-conv-params,1.000000,N/A,N/A,8.739090e-02,8.912268e-02,0.460
0.0125,80,80,1,0.005,1,theta-conv-params,1.000000,N/A,N/A,4.883350e-02,5.212283e-02,0.885
0.0125,80,80,1,0.002,1,theta-conv-params,1.000000,N/A,N/A,2.242902e-02,2.922071e-02,2.065
0.0125,80,80,1,0.001,1,theta-conv-params,1.000000,N/A,N/A,1.304492e-02,2.297243e-02,4.072
0.0125,80,80,1,0.0005,1,theta-conv-params,1.000000,N/A,N/A,8.271013e-03,2.072308e-02,8.092
0.0125,80,80,1,0.0002,1,theta-conv-params,1.000000,N/A,N/A,5.333305e-03,1.978950e-02,20.299
0.0125,80,80,1,0.0001,1,theta-conv-params,1.000000,N/A,N/A,4.348570e-03,1.956554e-02,40.365
0.0125,80,80,2,0.1,1,theta-conv-params,1.000000,N/A,N/A,1.241507e+00,1.241507e+00,0.128
0.0125,80,80,2,0.05,1,theta-conv-params,1.000000,N/A,N/A,2.251882e-01,2.251883e-01,0.205
0.0125,80,80,2,0.02,1,theta-conv-params,1.000000,N/A,N/A,1.439392e-01,1.439393e-01,0.451
0.0125,80,80,2,0.01,1,theta-conv-params,1.000000,N/A,N/A,8.431989e-02,8.432000e-02,0.787
0.0125,80,80,2,0.005,1,theta-conv-params,1.000000,N/A,N/A,4.562141e-02,4.562163e-02,1.528
0.0125,80,80,2,0.002,1,theta-conv-params,1.000000,N/A,N/A,1.913008e-02,1.913063e-02,4.487
0.0125,80,80,2,0.001,1,theta-conv-params,1.000000,N/A,N/A,9.716371e-03,9.717483e-03,8.480
0.0125,80,80,2,0.0005,1,theta-conv-params,1.000000,N/A,N/A,4.898718e-03,4.900943e-03,14.006
0.0125,80,80,2,0.0002,1,theta-conv-params,1.000000,N/A,N/A,1.968325e-03,1.973886e-03,34.575
0.0125,80,80,2,0.0001,1,theta-conv-params,1.000000,N/A,N/A,9.857116e-04,9.967899e-04,69.259
0.00625,160,160,1,0.1,1,theta-conv-params,1.000000,N/A,N/A,1.241053e+00,1.241055e+00,0.128
0.00625,160,160,1,0.05,1,theta-conv-params,1.000000,N/A,N/A,2.257192e-01,2.258410e-01,0.224
0.00625,160,160,1,0.02,1,theta-conv-params,1.000000,N/A,N/A,1.446399e-01,1.448717e-01,0.471
0.00625,160,160,1,0.01,1,theta-conv-params,1.000000,N/A,N/A,8.508760e-02,8.553767e-02,0.860
0.00625,160,160,1,0.005,1,theta-conv-params,1.000000,N/A,N/A,4.642436e-02,4.731430e-02,1.623
0.00625,160,160,1,0.002,1,theta-conv-params,1.000000,N/A,N/A,1.995467e-02,2.205238e-02,3.984
0.00625,160,160,1,0.001,1,theta-conv-params,1.000000,N/A,N/A,1.054828e-02,1.418044e-02,7.618
0.00625,160,160,1,0.0005,1,theta-conv-params,1.000000,N/A,N/A,5.741473e-03,1.112018e-02,15.101
0.00625,160,160,1,0.0002,1,theta-conv-params,1.000000,N/A,N/A,2.809172e-03,9.955956e-03,37.498
0.00625,160,160,1,0.0001,1,theta-conv-params,1.000000,N/A,N/A,1.826048e-03,9.733657e-03,74.838
0.00625,160,160,2,0.1,1,theta-conv-params,1.000000,N/A,N/A,1.241507e+00,1.241507e+00,0.387
0.00625,160,160,2,0.05,1,theta-conv-params,1.000000,N/A,N/A,2.251881e-01,2.251881e-01,0.617
0.00625,160,160,2,0.02,1,theta-conv-params,1.000000,N/A,N/A,1.439390e-01,1.439390e-01,1.372
0.00625,160,160,2,0.01,1,theta-conv-params,1.000000,N/A,N/A,8.431972e-02,8.431973e-02,2.456
0.00625,160,160,2,0.005,1,theta-conv-params,1.000000,N/A,N/A,4.562123e-02,4.562125e-02,4.618
0.00625,160,160,2,0.002,1,theta-conv-params,1.000000,N/A,N/A,1.912989e-02,1.912993e-02,11.509
0.00625,160,160,2,0.001,1,theta-conv-params,1.000000,N/A,N/A,9.716187e-03,9.716258e-03,21.375
0.00625,160,160,2,0.0005,1,theta-conv-params,1.000000,N/A,N/A,4.898532e-03,4.898673e-03,41.880
0.00625,160,160,2,0.0002,1,theta-conv-params,1.000000,N/A,N/A,1.968139e-03,1.968490e-03,101.580
0.00625,160,160,2,0.0001,1,theta-conv-params,1.000000,N/A,N/A,9.855253e-04,9.862303e-04,202.980
0.003125,320,320,1,0.1,1,theta-conv-params,1.000000,N/A,N/A,1.241393e+00,1.241394e+00,0.397
0.003125,320,320,1,0.05,1,theta-conv-params,1.000000,N/A,N/A,2.253209e-01,2.253514e-01,0.647
0.003125,320,320,1,0.02,1,theta-conv-params,1.000000,N/A,N/A,1.441142e-01,1.441725e-01,1.458
0.003125,320,320,1,0.01,1,theta-conv-params,1.000000,N/A,N/A,8.451169e-02,8.462534e-02,2.562
0.003125,320,320,1,0.005,1,theta-conv-params,1.000000,N/A,N/A,4.582201e-02,4.604929e-02,5.104
0.003125,320,320,1,0.002,1,theta-conv-params,1.000000,N/A,N/A,1.933608e-02,1.989824e-02,12.328
0.003125,320,320,1,0.001,1,theta-conv-params,1.000000,N/A,N/A,9.924193e-03,1.099869e-02,24.573
0.003125,320,320,1,0.0005,1,theta-conv-params,1.000000,N/A,N/A,5.109236e-03,6.986056e-03,48.453
0.003125,320,320,1,0.0002,1,theta-conv-params,1.000000,N/A,N/A,2.178339e-03,5.251646e-03,118.793
0.003125,320,320,1,0.0001,1,theta-conv-params,1.000000,N/A,N/A,1.195575e-03,4.930419e-03,236.598
0.003125,320,320,2,0.1,1,theta-conv-params,1.000000,N/A,N/A,1.241507e+00,1.241507e+00,1.287
0.003125,320,320,2,0.05,1,theta-conv-params,1.000000,N/A,N/A,2.251881e-01,2.251881e-01,2.125
0.003125,320,320,2,0.02,1,theta-conv-params,1.000000,N/A,N/A,1.439390e-01,1.439390e-01,4.979
0.003125,320,320,2,0.01,1,theta-conv-params,1.000000,N/A,N/A,8.431971e-02,8.431971e-02,9.018
0.003125,320,320,2,0.005,1,theta-conv-params,1.000000,N/A,N/A,4.562122e-02,4.562123e-02,17.104
0.003125,320,320,2,0.002,1,theta-conv-params,1.000000,N/A,N/A,1.912988e-02,1.912989e-02,40.392
0.003125,320,320,2,0.001,1,theta-conv-params,1.000000,N/A,N/A,9.716175e-03,9.716182e-03,79.375
0.003125,320,320,2,0.0005,1,theta-conv-params,1.000000,N/A,N/A,4.898520e-03,4.898531e-03,154.069
0.003125,320,320,2,0.0002,1,theta-conv-params,1.000000,N/A,N/A,1.968128e-03,1.968152e-03,375.938
0.1,10,10,1,0.05,1,newmark-conv-params,N/A,0.000000,0.500000,3.753549e+05,4.059389e+06,0.027
0.1,10,10,1,0.02,1,newmark-conv-params,N/A,0.000000,0.500000,2.181474e-01,2.502150e-01,0.023
0.1,10,10,1,0.01,1,newmark-conv-params,N/A,0.000000,0.500000,2.140415e-01,2.469485e-01,0.041
0.1,10,10,1,0.005,1,newmark-conv-params,N/A,0.000000,0.500000,2.130161e-01,2.461369e-01,0.077
0.1,10,10,1,0.002,1,newmark-conv-params,N/A,0.000000,0.500000,2.127290e-01,2.459101e-01,0.181
0.1,10,10,1,0.001,1,newmark-conv-params,N/A,0.000000,0.500000,2.126880e-01,2.458777e-01,0.357
0.1,10,10,1,0.0005,1,newmark-conv-params,N/A,0.000000,0.500000,2.144766e-01,2.473129e-01,0.709
0.1,10,10,1,0.0002,1,newmark-conv-params,N/A,0.000000,0.500000,2.133909e-01,2.464412e-01,1.763
0.1,10,10,1,0.0001,1,newmark-conv-params,N/A,0.000000,0.500000,2.130319e-01,2.461533e-01,3.519
0.1,10,10,2,0.01,1,newmark-conv-params,N/A,0.000000,0.500000,2.198857e-03,9.879213e-03,0.064
0.1,10,10,2,0.005,1,newmark-conv-params,N/A,0.000000,0.500000,1.264404e-03,9.687330e-03,0.121
0.1,10,10,2,0.002,1,newmark-conv-params,N/A,0.000000,0.500000,1.025209e-03,9.722744e-03,0.290
0.1,10,10,2,0.001,1,newmark-conv-params,N/A,0.000000,0.500000,9.923814e-04,9.718860e-03,0.576
0.1,10,10,2,0.0005,1,newmark-conv-params,N/A,0.000000,0.500000,9.900569e-04,9.718456e-03,1.155
0.1,10,10,2,0.0002,1,newmark-conv-params,N/A,0.000000,0.500000,9.842798e-04,9.717965e-03,2.847
0.1,10,10,2,0.0001,1,newmark-conv-params,N/A,0.000000,0.500000,9.828031e-04,9.717840e-03,5.718
0.05,20,20,1,0.02,1,newmark-conv-params,N/A,0.000000,0.500000,5.912512e-02,1.326448e-01,0.041
0.05,20,20,1,0.01,1,newmark-conv-params,N/A,0.000000,0.500000,5.496747e-02,9.112649e-02,0.075
0.05,20,20,1,0.005,1,newmark-conv-params,N/A,0.000000,0.500000,5.396745e-02,9.058767e-02,0.141
0.05,20,20,1,0.002,1,newmark-conv-params,N/A,0.000000,0.500000,5.368752e-02,9.043826e-02,0.346
0.05,20,20,1,0.001,1,newmark-conv-params,N/A,0.000000,0.500000,5.364754e-02,9.041697e-02,0.671
0.05,20,20,1,0.0005,1,newmark-conv-params,N/A,0.000000,0.500000,5.409333e-02,9.065862e-02,1.300
0.05,20,20,1,0.0002,1,newmark-conv-params,N/A,0.000000,0.500000,5.381616e-02,9.050825e-02,3.230
0.05,20,20,1,0.0001,1,newmark-conv-params,N/A,0.000000,0.500000,5.372490e-02,9.045888e-02,6.391
0.05,20,20,2,0.005,1,newmark-conv-params,N/A,0.000000,0.500000,3.877182e-04,2.408801e-03,0.191
0.05,20,20,2,0.002,1,newmark-conv-params,N/A,0.000000,0.500000,1.254725e-04,2.386052e-03,0.456
0.05,20,20,2,0.001,1,newmark-conv-params,N/A,0.000000,0.500000,9.550928e-05,2.387892e-03,0.889
0.05,20,20,2,0.0005,1,newmark-conv-params,N/A,0.000000,0.500000,8.948869e-05,2.386830e-03,1.743
0.05,20,20,2,0.0002,1,newmark-conv-params,N/A,0.000000,0.500000,8.765896e-05,2.386119e-03,4.311
0.05,20,20,2,0.0001,1,newmark-conv-params,N/A,0.000000,0.500000,8.737507e-05,2.385972e-03,8.607
0.025,40,40,1,0.01,1,newmark-conv-params,N/A,0.000000,0.500000,8.662619e+04,3.861645e+06,0.114
0.025,40,40,1,0.005,1,newmark-conv-params,N/A,0.000000,0.500000,1.376886e-02,4.024332e-02,0.215
0.025,40,40,1,0.002,1,newmark-conv-params,N/A,0.000000,0.500000,1.349078e-02,4.015905e-02,0.521
0.025,40,40,1,0.001,1,newmark-conv-params,N/A,0.000000,0.500000,1.345106e-02,4.014716e-02,1.017
0.025,40,40,1,0.0005,1,newmark-conv-params,N/A,0.000000,0.500000,1.355545e-02,4.017899e-02,2.003
0.025,40,40,1,0.0002,1,newmark-conv-params,N/A,0.000000,0.500000,1.348384e-02,4.015717e-02,4.996
0.025,40,40,1,0.0001,1,newmark-conv-params,N/A,0.000000,0.500000,1.346066e-02,4.015013e-02,9.944
0.025,40,40,2,0.002,1,newmark-conv-params,N/A,0.000000,0.500000,5.677163e-05,5.969314e-04,1.201
0.025,40,40,2,0.001,1,newmark-conv-params,N/A,0.000000,0.500000,1.862660e-05,5.943285e-04,2.393
0.025,40,40,2,0.0005,1,newmark-conv-params,N/A,0.000000,0.500000,1.097338e-05,5.938761e-04,4.745
0.025,40,40,2,0.0002,1,newmark-conv-params,N/A,0.000000,0.500000,9.560570e-06,5.935908e-04,11.904
0.025,40,40,2,0.0001,1,newmark-conv-params,N/A,0.000000,0.500000,9.410892e-06,5.936105e-04,23.371
0.0125,80,80,1,0.005,1,newmark-conv-params,N/A,0.000000,0.500000,2.558550e+21,2.284352e+23,0.542
0.0125,80,80,1,0.002,1,newmark-conv-params,N/A,0.000000,0.500000,3.414196e-03,1.939695e-02,1.221
0.0125,80,80,1,0.001,1,newmark-conv-params,N/A,0.000000,0.500000,3.374539e-03,1.939075e-02,2.393
0.0125,80,80,1,0.0005,1,newmark-conv-params,N/A,0.000000,0.500000,3.393251e-03,1.939373e-02,4.753
0.0125,80,80,1,0.0002,1,newmark-conv-params,N/A,0.000000,0.500000,3.373233e-03,1.939058e-02,11.836
0.0125,80,80,1,0.0001,1,newmark-conv-params,N/A,0.000000,0.500000,3.367135e-03,1.938962e-02,23.459
0.0125,80,80,2,0.001,1,newmark-conv-params,N/A,0.000000,0.500000,1.347212e-05,1.489640e-04,3.941
0.0125,80,80,2,0.0005,1,newmark-conv-params,N/A,0.000000,0.500000,3.705167e-06,1.484597e-04,7.950
0.0125,80,80,2,0.0002,1,newmark-conv-params,N/A,0.000000,0.500000,1.321928e-06,1.483781e-04,19.687
0.0125,80,80,2,0.0001,1,newmark-conv-params,N/A,0.000000,0.500000,1.151127e-06,1.484180e-04,39.472
0.00625,160,160,1,0.002,1,newmark-conv-params,N/A,0.000000,0.500000,8.933052e-04,9.611382e-03,2.153
0.00625,160,160,1,0.001,1,newmark-conv-params,N/A,0.000000,0.500000,8.536616e-04,9.608157e-03,4.307
0.00625,160,160,1,0.0005,1,newmark-conv-params,N/A,0.000000,0.500000,8.509324e-04,9.607949e-03,9.047
0.00625,160,160,1,0.0002,1,newmark-conv-params,N/A,0.000000,0.500000,8.438249e-04,9.607385e-03,21.280
0.00625,160,160,1,0.0001,1,newmark-conv-params,N/A,0.000000,0.500000,8.420014e-04,9.607241e-03,42.272
0.00625,160,160,2,0.0005,1,newmark-conv-params,N/A,0.000000,0.500000,3.353013e-06,3.724086e-05,21.386
0.00625,160,160,2,0.0002,1,newmark-conv-params,N/A,0.000000,0.500000,5.606828e-07,3.709150e-05,51.311
0.00625,160,160,2,0.0001,1,newmark-conv-params,N/A,0.000000,0.500000,1.999095e-07,3.708842e-05,103.610
0.003125,320,320,1,0.001,1,newmark-conv-params,N/A,0.000000,0.500000,2.233323e-04,4.793127e-03,12.364
0.003125,320,320,1,0.0005,1,newmark-conv-params,N/A,0.000000,0.500000,2.152407e-04,4.792797e-03,24.917
0.003125,320,320,1,0.0002,1,newmark-conv-params,N/A,0.000000,0.500000,2.113615e-04,4.792642e-03,61.188
0.003125,320,320,1,0.0001,1,newmark-conv-params,N/A,0.000000,0.500000,2.106071e-04,4.792612e-03,123.124
0.003125,320,320,2,0.0002,1,newmark-conv-params,N/A,0.000000,0.500000,5.320822e-07,9.287054e-06,182.751
0.003125,320,320,2,0.0001,1,newmark-conv-params,N/A,0.000000,0.500000,1.343803e-07,9.272878e-06,364.971
0.1,10,10,1,0.1,1,newmark-conv-params,N/A,0.250000,0.500000,1.356925e-01,1.936662e-01,0.009
0.1,10,10,1,0.05,1,newmark-conv-params,N/A,0.250000,0.500000,1.450341e-01,1.970793e-01,0.011
0.1,10,10,1,0.02,1,newmark-conv-params,N/A,0.250000,0.500000,2.017578e-01,2.373432e-01,0.019
0.1,10,10,1,0.01,1,newmark-conv-params,N/A,0.250000,0.500000,2.099419e-01,2.437144e-01,0.032
0.1,10,10,1,0.005,1,newmark-conv-params,N/A,0.250000,0.500000,2.119910e-01,2.453274e-01,0.059
0.1,10,10,1,0.002,1,newmark-conv-params,N/A,0.250000,0.500000,2.125650e-01,2.457805e-01,0.138
0.1,10,10,1,0.001,1,newmark-conv-params,N/A,0.250000,0.500000,2.126470e-01,2.458453e-01,0.267
0.1,10,10,1,0.0005,1,newmark-conv-params,N/A,0.250000,0.500000,2.144663e-01,2.473047e-01,0.526
0.1,10,10,1,0.0002,1,newmark-conv-params,N/A,0.250000,0.500000,2.133892e-01,2.464399e-01,1.316
0.1,10,10,1,0.0001,1,newmark-conv-params,N/A,0.250000,0.500000,2.130315e-01,2.461530e-01,2.623
0.1,10,10,2,0.1,1,newmark-conv-params,N/A,0.250000,0.500000,4.436201e-01,4.436665e-01,0.011
0.1,10,10,2,0.05,1,newmark-conv-params,N/A,0.250000,0.500000,6.470457e-02,6.550300e-02,0.015
0.1,10,10,2,0.02,1,newmark-conv-params,N/A,0.250000,0.500000,9.786749e-03,1.378675e-02,0.030
0.1,10,10,2,0.01,1,newmark-conv-params,N/A,0.250000,0.500000,1.936411e-03,9.933274e-03,0.052
0.1,10,10,2,0.005,1,newmark-conv-params,N/A,0.250000,0.500000,5.867080e-04,9.785411e-03,0.099
0.1,10,10,2,0.002,1,newmark-conv-params,N/A,0.250000,0.500000,8.972554e-04,9.717195e-03,0.237
0.1,10,10,2,0.001,1,newmark-conv-params,N/A,0.250000,0.500000,9.600615e-04,9.715984e-03,0.464
0.1,10,10,2,0.0005,1,newmark-conv-params,N/A,0.250000,0.500000,9.818647e-04,9.717622e-03,0.919
0.1,10,10,2,0.0002,1,newmark-conv-params,N/A,0.250000,0.500000,9.829773e-04,9.717835e-03,2.283
0.1,10,10,2,0.0001,1,newmark-conv-params,N/A,0.250000,0.500000,9.824782e-04,9.717808e-03,4.567
0.05,20,20,1,0.1,1,newmark-conv-params,N/A,0.250000,0.500000,3.654210e-01,3.687693e-01,0.014
0.05,20,20,1,0.05,1,newmark-conv-params,N/A,0.250000,0.500000,1.281205e-02,7.885258e-02,0.020
0.05,20,20,1,0.02,1,newmark-conv-params,N/A,0.250000,0.500000,4.299180e-02,8.522746e-02,0.038
0.05,20,20,1,0.01,1,newmark-conv-params,N/A,0.250000,0.500000,5.096974e-02,8.902061e-02,0.066
0.05,20,20,1,0.005,1,newmark-conv-params,N/A,0.250000,0.500000,5.296786e-02,9.005702e-02,0.119
0.05,20,20,1,0.002,1,newmark-conv-params,N/A,0.250000,0.500000,5.352758e-02,9.035317e-02,0.291
0.05,20,20,1,0.001,1,newmark-conv-params,N/A,0.250000,0.500000,5.360755e-02,9.039569e-02,0.566
0.05,20,20,1,0.0005,1,newmark-conv-params,N/A,0.250000,0.500000,5.408324e-02,9.065321e-02,1.113
0.05,20,20,1,0.0002,1,newmark-conv-params,N/A,0.250000,0.500000,5.381455e-02,9.050740e-02,2.737
0.05,20,20,1,0.0001,1,newmark-conv-params,N/A,0.250000,0.500000,5.372450e-02,9.045867e-02,5.497
0.05,20,20,2,0.1,1,newmark-conv-params,N/A,0.250000,0.500000,4.447543e-01,4.447566e-01,0.026
0.05,20,20,2,0.05,1,newmark-conv-params,N/A,0.250000,0.500000,6.544037e-02,6.548948e-02,0.033
0.05,20,20,2,0.02,1,newmark-conv-params,N/A,0.250000,0.500000,1.051599e-02,1.078664e-02,0.057
0.05,20,20,2,0.01,1,newmark-conv-params,N/A,0.250000,0.500000,2.595150e-03,3.529125e-03,0.094
0.05,20,20,2,0.005,1,newmark-conv-params,N/A,0.250000,0.500000,6.149491e-04,2.464233e-03,0.173
0.05,20,20,2,0.002,1,newmark-conv-params,N/A,0.250000,0.500000,8.982822e-05,2.381867e-03,0.411
0.05,20,20,2,0.001,1,newmark-conv-params,N/A,0.250000,0.500000,7.515518e-05,2.386173e-03,0.798
0.05,20,20,2,0.0005,1,newmark-conv-params,N/A,0.250000,0.500000,8.380405e-05,2.385534e-03,1.553
0.05,20,20,2,0.0002,1,newmark-conv-params,N/A,0.250000,0.500000,8.673916e-05,2.385910e-03,3.842
0.05,20,20,2,0.0001,1,newmark-conv-params,N/A,0.250000,0.500000,8.714519e-05,2.385921e-03,7.703
0.025,40,40,1,0.1,1,newmark-conv-params,N/A,0.250000,0.500000,4.248792e-01,4.254571e-01,0.023
0.025,40,40,1,0.05,1,newmark-conv-params,N/A,0.250000,0.500000,5.222136e-02,6.598665e-02,0.031
0.025,40,40,1,0.02,1,newmark-conv-params,N/A,0.250000,0.500000,2.913831e-03,3.834336e-02,0.056
0.025,40,40,1,0.01,1,newmark-conv-params,N/A,0.250000,0.500000,1.079162e-02,3.943402e-02,0.095
0.025,40,40,1,0.005,1,newmark-conv-params,N/A,0.250000,0.500000,1.277590e-02,3.995052e-02,0.177
0.025,40,40,1,0.002,1,newmark-conv-params,N/A,0.250000,0.500000,1.333189e-02,4.011170e-02,0.435
0.025,40,40,1,0.001,1,newmark-conv-params,N/A,0.250000,0.500000,1.341133e-02,4.013530e-02,0.842
0.025,40,40,1,0.0005,1,newmark-conv-params,N/A,0.250000,0.500000,1.354543e-02,4.017597e-02,1.654
0.025,40,40,1,0.0002,1,newmark-conv-params,N/A,0.250000,0.500000,1.348225e-02,4.015669e-02,4.078
0.025,40,40,1,0.0001,1,newmark-conv-params,N/A,0.250000,0.500000,1.346026e-02,4.015001e-02,8.119
0.025,40,40,2,0.1,1,newmark-conv-params,N/A,0.250000,0.500000,4.448263e-01,4.448264e-01,0.054
0.025,40,40,2,0.05,1,newmark-conv-params,N/A,0.250000,0.500000,6.548712e-02,6.549018e-02,0.075
0.025,40,40,2,0.02,1,newmark-conv-params,N/A,0.250000,0.500000,1.056303e-02,1.058012e-02,0.138
0.025,40,40,2,0.01,1,newmark-conv-params,N/A,0.250000,0.500000,2.641543e-03,2.707729e-03,0.222
0.025,40,40,2,0.005,1,newmark-conv-params,N/A,0.250000,0.500000,6.582607e-04,8.869869e-04,0.462
0.025,40,40,2,0.002,1,newmark-conv-params,N/A,0.250000,0.500000,1.030372e-04,6.024516e-04,1.098
0.025,40,40,2,0.001,1,newmark-conv-params,N/A,0.250000,0.500000,2.490153e-05,5.943958e-04,2.184
0.025,40,40,2,0.0005,1,newmark-conv-params,N/A,0.250000,0.500000,9.475359e-06,5.942209e-04,4.314
0.025,40,40,2,0.0002,1,newmark-conv-params,N/A,0.250000,0.500000,9.062208e-06,5.936895e-04,10.884
0.025,40,40,2,0.0001,1,newmark-conv-params,N/A,0.250000,0.500000,9.278766e-06,5.936355e-04,22.745
0.0125,80,80,1,0.1,1,newmark-conv-params,N/A,0.250000,0.500000,4.398371e-01,4.399684e-01,0.048
0.0125,80,80,1,0.05,1,newmark-conv-params,N/A,0.250000,0.500000,6.217037e-02,6.541614e-02,0.070
0.0125,80,80,1,0.02,1,newmark-conv-params,N/A,0.250000,0.500000,7.217268e-03,2.060304e-02,0.127
0.0125,80,80,1,0.01,1,newmark-conv-params,N/A,0.250000,0.500000,7.314522e-04,1.915977e-02,0.240
0.0125,80,80,1,0.005,1,newmark-conv-params,N/A,0.250000,0.500000,2.700673e-03,1.929770e-02,0.434
0.0125,80,80,1,0.002,1,newmark-conv-params,N/A,0.250000,0.500000,3.255578e-03,1.937265e-02,1.046
0.0125,80,80,1,0.001,1,newmark-conv-params,N/A,0.250000,0.500000,3.334883e-03,1.938464e-02,2.079
0.0125,80,80,1,0.0005,1,newmark-conv-params,N/A,0.250000,0.500000,3.383246e-03,1.939217e-02,4.133
0.0125,80,80,1,0.0002,1,newmark-conv-params,N/A,0.250000,0.500000,3.371641e-03,1.939033e-02,10.255
0.0125,80,80,1,0.0001,1,newmark-conv-params,N/A,0.250000,0.500000,3.366737e-03,1.938956e-02,21.084
0.0125,80,80,2,0.1,1,newmark-conv-params,N/A,0.250000,0.500000,4.448308e-01,4.448308e-01,0.070
0.0125,80,80,2,0.05,1,newmark-conv-params,N/A,0.250000,0.500000,6.549006e-02,6.549025e-02,0.108
0.0125,80,80,2,0.02,1,newmark-conv-params,N/A,0.250000,0.500000,1.056599e-02,1.056705e-02,0.211
0.0125,80,80,2,0.01,1,newmark-conv-params,N/A,0.250000,0.500000,2.644498e-03,2.648679e-03,0.420
0.0125,80,80,2,0.005,1,newmark-conv-params,N/A,0.250000,0.500000,6.611735e-04,6.776449e-04,1.029
0.0125,80,80,2,0.002,1,newmark-conv-params,N/A,0.250000,0.500000,1.056356e-04,1.821412e-04,2.521
0.0125,80,80,2,0.001,1,newmark-conv-params,N/A,0.250000,0.500000,2.628222e-05,1.507253e-04,3.535
0.0125,80,80,2,0.0005,1,newmark-conv-params,N/A,0.250000,0.500000,6.568433e-06,1.485156e-04,7.169
0.0125,80,80,2,0.0002,1,newmark-conv-params,N/A,0.250000,0.500000,1.400129e-06,1.484221e-04,18.417
0.0125,80,80,2,0.0001,1,newmark-conv-params,N/A,0.250000,0.500000,1.104551e-06,1.484195e-04,37.890
0.00625,160,160,1,0.1,1,newmark-conv-params,N/A,0.250000,0.500000,4.435822e-01,4.436143e-01,0.069
0.00625,160,160,1,0.05,1,newmark-conv-params,N/A,0.250000,0.500000,6.466013e-02,6.545932e-02,0.105
0.00625,160,160,1,0.02,1,newmark-conv-params,N/A,0.250000,0.500000,9.728424e-03,1.371787e-02,0.242
0.00625,160,160,1,0.01,1,newmark-conv-params,N/A,0.250000,0.500000,1.806244e-03,9.764139e-03,0.425
0.00625,160,160,1,0.005,1,newmark-conv-params,N/A,0.250000,0.500000,1.830504e-04,9.578370e-03,0.838
0.00625,160,160,1,0.002,1,newmark-conv-params,N/A,0.250000,0.500000,7.347656e-04,9.599461e-03,1.825
0.00625,160,160,1,0.001,1,newmark-conv-params,N/A,0.250000,0.500000,8.140233e-04,9.605095e-03,3.626
0.00625,160,160,1,0.0005,1,newmark-conv-params,N/A,0.250000,0.500000,8.409310e-04,9.607164e-03,7.255
0.00625,160,160,1,0.0002,1,newmark-conv-params,N/A,0.250000,0.500000,8.422335e-04,9.607261e-03,17.989
0.00625,160,160,1,0.0001,1,newmark-conv-params,N/A,0.250000,0.500000,8.416042e-04,9.607210e-03,37.000
0.00625,160,160,2,0.1,1,newmark-conv-params,N/A,0.250000,0.500000,4.448311e-01,4.448311e-01,0.221
0.00625,160,160,2,0.05,1,newmark-conv-params,N/A,0.250000,0.500000,6.549024e-02,6.549025e-02,0.342
0.00625,160,160,2,0.02,1,newmark-conv-params,N/A,0.250000,0.500000,1.056618e-02,1.056624e-02,0.675
0.00625,160,160,2,0.01,1,newmark-conv-params,N/A,0.250000,0.500000,2.644683e-03,2.644943e-03,1.188
0.00625,160,160,2,0.005,1,newmark-conv-params,N/A,0.250000,0.500000,6.613585e-04,6.623967e-04,2.130
0.00625,160,160,2,0.002,1,newmark-conv-params,N/A,0.250000,0.500000,1.058159e-04,1.121275e-04,5.328
0.00625,160,160,2,0.001,1,newmark-conv-params,N/A,0.250000,0.500000,2.644533e-05,4.555308e-05,10.279
0.00625,160,160,2,0.0005,1,newmark-conv-params,N/A,0.250000,0.500000,6.664328e-06,3.768253e-05,19.438
0.00625,160,160,2,0.0002,1,newmark-conv-params,N/A,0.250000,0.500000,1.058710e-06,3.710093e-05,50.983
0.00625,160,160,2,0.0001,1,newmark-conv-params,N/A,0.250000,0.500000,2.877339e-07,3.709133e-05,109.616
0.003125,320,320,1,0.1,1,newmark-conv-params,N/A,0.250000,0.500000,4.445188e-01,4.445268e-01,0.210
0.003125,320,320,1,0.05,1,newmark-conv-params,N/A,0.250000,0.500000,6.528271e-02,6.548174e-02,0.331
0.003125,320,320,1,0.02,1,newmark-conv-params,N/A,0.250000,0.500000,1.035672e-02,1.143125e-02,0.612
0.003125,320,320,1,0.01,1,newmark-conv-params,N/A,0.250000,0.500000,2.434970e-03,5.382872e-03,1.169
