h,N_el_x,N_el_y,r,dt,T,method,theta,beta,gamma,rel_L2_error_final,rel_H1_error_final,elapsed_time_s
0.0125,80,80,1,0.0001,1,theta-conv-params,0.000000,N/A,N/A,2.383209e-03,1.929385e-02,40.751
0.0125,80,80,2,0.001,1,theta-conv-params,0.000000,N/A,N/A,-nan,-nan,7.707
0.0125,80,80,2,0.0005,1,theta-conv-params,0.000000,N/A,N/A,-nan,-nan,15.318
0.0125,80,80,2,0.0002,1,theta-conv-params,0.000000,N/A,N/A,1.624937e+25,3.193390e+27,38.185
0.0125,80,80,2,0.0001,1,theta-conv-params,0.000000,N/A,N/A,5.304592e+08,1.025979e+11,74.678
0.00625,160,160,1,0.002,1,theta-conv-params,0.000000,N/A,N/A,-nan,-nan,4.042
0.00625,160,160,1,0.001,1,theta-conv-params,0.000000,N/A,N/A,-nan,-nan,8.159
0.00625,160,160,1,0.0005,1,theta-conv-params,0.000000,N/A,N/A,-nan,-nan,16.976
0.00625,160,160,1,0.0002,1,theta-conv-params,0.000000,N/A,N/A,1.379206e+18,2.454609e+20,40.467
0.00625,160,160,1,0.0001,1,theta-conv-params,0.000000,N/A,N/A,1.281524e+05,2.265426e+07,80.900
0.00625,160,160,2,0.0005,1,theta-conv-params,0.000000,N/A,N/A,-nan,-nan,23.761
0.00625,160,160,2,0.0002,1,theta-conv-params,0.000000,N/A,N/A,-nan,-nan,113.606
0.00625,160,160,2,0.0001,1,theta-conv-params,0.000000,N/A,N/A,-nan,-nan,228.536
0.003125,320,320,1,0.001,1,theta-conv-params,0.000000,N/A,N/A,-nan,-nan,12.712
0.003125,320,320,1,0.0005,1,theta-conv-params,0.000000,N/A,N/A,-nan,-nan,31.677
0.003125,320,320,1,0.0002,1,theta-conv-params,0.000000,N/A,N/A,-nan,-nan,128.870
0.003125,320,320,1,0.0001,1,theta-conv-params,0.000000,N/A,N/A,-nan,-nan,260.888
0.003125,320,320,2,0.0002,1,theta-conv-params,0.000000,N/A,N/A,-nan,-nan,130.620
0.003125,320,320,2,0.0001,1,theta-conv-params,0.000000,N/A,N/A,-nan,-nan,439.543
0.1,10,10,1,0.1,1,theta-conv-params,0.500000,N/A,N/A,1.356925e-01,1.936662e-01,0.016
0.1,10,10,1,0.05,1,theta-conv-params,0.500000,N/A,N/A,1.450341e-01,1.970793e-01,0.020
0.1,10,10,1,0.02,1,theta-conv-params,0.500000,N/A,N/A,2.017578e-01,2.373432e-01,0.038
0.1,10,10,1,0.01,1,theta-conv-params,0.500000,N/A,N/A,2.099419e-01,2.437143e-01,0.065
0.1,10,10,1,0.005,1,theta-conv-params,0.500000,N/A,N/A,2.119910e-01,2.453274e-01,0.119
0.1,10,10,1,0.002,1,theta-conv-params,0.500000,N/A,N/A,2.125650e-01,2.457805e-01,0.281
0.1,10,10,1,0.001,1,theta-conv-params,0.500000,N/A,N/A,2.126470e-01,2.458453e-01,0.555
0.1,10,10,1,0.0005,1,theta-conv-params,0.500000,N/A,N/A,2.144663e-01,2.473047e-01,1.101
0.1,10,10,1,0.0002,1,theta-conv-params,0.500000,N/A,N/A,2.133892e-01,2.464399e-01,2.753
0.1,10,10,1,0.0001,1,theta-conv-params,0.500000,N/A,N/A,2.130315e-01,2.461530e-01,5.463
0.1,10,10,2,0.1,1,theta-conv-params,0.500000,N/A,N/A,4.436201e-01,4.436665e-01,0.022
0.1,10,10,2,0.05,1,theta-conv-params,0.500000,N/A,N/A,6.470457e-02,6.550300e-02,0.031
0.1,10,10,2,0.02,1,theta-conv-params,0.500000,N/A,N/A,9.786749e-03,1.378675e-02,0.060
0.1,10,10,2,0.01,1,theta-conv-params,0.500000,N/A,N/A,1.936411e-03,9.933274e-03,0.107
0.1,10,10,2,0.005,1,theta-conv-params,0.500000,N/A,N/A,5.867080e-04,9.785411e-03,0.201
0.1,10,10,2,0.002,1,theta-conv-params,0.500000,N/A,N/A,8.972553e-04,9.717195e-03,0.485
0.1,10,10,2,0.001,1,theta-conv-params,0.500000,N/A,N/A,9.600615e-04,9.715984e-03,0.960
0.1,10,10,2,0.0005,1,theta-conv-params,0.500000,N/A,N/A,9.818647e-04,9.717622e-03,1.905
0.1,10,10,2,0.0002,1,theta-conv-params,0.500000,N/A,N/A,9.829773e-04,9.717835e-03,4.735
0.1,10,10,2,0.0001,1,theta-conv-params,0.500000,N/A,N/A,9.824782e-04,9.717808e-03,9.559
0.05,20,20,1,0.1,1,theta-conv-params,0.500000,N/A,N/A,3.654210e-01,3.687693e-01,0.027
0.05,20,20,1,0.05,1,theta-conv-params,0.500000,N/A,N/A,1.281205e-02,7.885259e-02,0.035
0.05,20,20,1,0.02,1,theta-conv-params,0.500000,N/A,N/A,4.299180e-02,8.522746e-02,0.065
0.05,20,20,1,0.01,1,theta-conv-params,0.500000,N/A,N/A,5.096974e-02,8.902061e-02,0.112
0.05,20,20,1,0.005,1,theta-conv-params,0.500000,N/A,N/A,5.296786e-02,9.005702e-02,0.206
0.05,20,20,1,0.002,1,theta-conv-params,0.500000,N/A,N/A,5.352758e-02,9.035317e-02,0.498
0.05,20,20,1,0.001,1,theta-conv-params,0.500000,N/A,N/A,5.360755e-02,9.039569e-02,0.960
0.05,20,20,1,0.0005,1,theta-conv-params,0.500000,N/A,N/A,5.408324e-02,9.065321e-02,1.903
0.05,20,20,1,0.0002,1,theta-conv-params,0.500000,N/A,N/A,5.381455e-02,9.050740e-02,4.722
0.05,20,20,1,0.0001,1,theta-conv-params,0.500000,N/A,N/A,5.372450e-02,9.045867e-02,9.401
0.05,20,20,2,0.1,1,theta-conv-params,0.500000,N/A,N/A,4.447543e-01,4.447566e-01,0.047
0.05,20,20,2,0.05,1,theta-conv-params,0.500000,N/A,N/A,6.544037e-02,6.548948e-02,0.060
0.05,20,20,2,0.02,1,theta-conv-params,0.500000,N/A,N/A,1.051599e-02,1.078663e-02,0.102
0.05,20,20,2,0.01,1,theta-conv-params,0.500000,N/A,N/A,2.595150e-03,3.529125e-03,0.169
0.05,20,20,2,0.005,1,theta-conv-params,0.500000,N/A,N/A,6.149491e-04,2.464233e-03,0.317
0.05,20,20,2,0.002,1,theta-conv-params,0.500000,N/A,N/A,8.982822e-05,2.381867e-03,0.717
0.05,20,20,2,0.001,1,theta-conv-params,0.500000,N/A,N/A,7.515519e-05,2.386173e-03,1.363
0.05,20,20,2,0.0005,1,theta-conv-params,0.500000,N/A,N/A,8.380405e-05,2.385534e-03,2.725
0.05,20,20,2,0.0002,1,theta-conv-params,0.500000,N/A,N/A,8.673916e-05,2.385910e-03,6.718
0.05,20,20,2,0.0001,1,theta-conv-params,0.500000,N/A,N/A,8.714519e-05,2.385921e-03,13.441
0.025,40,40,1,0.1,1,theta-conv-params,0.500000,N/A,N/A,4.248792e-01,4.254571e-01,0.046
0.025,40,40,1,0.05,1,theta-conv-params,0.500000,N/A,N/A,5.222136e-02,6.598665e-02,0.060
0.025,40,40,1,0.02,1,theta-conv-params,0.500000,N/A,N/A,2.913831e-03,3.834336e-02,0.108
0.025,40,40,1,0.01,1,theta-conv-params,0.500000,N/A,N/A,1.079162e-02,3.943402e-02,0.182
0.025,40,40,1,0.005,1,theta-conv-params,0.500000,N/A,N/A,1.277590e-02,3.995052e-02,0.343
